chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc,prognosis
0.527414,1855.002086812906,1585.7754700072792,3426.715642755682,0.15684925426136365,-18.183664,Ramana
0.5198225,1728.2118370782364,1462.6723737505297,3098.334295099432,0.14631791548295456,-15.48803,Ramana
0.5112174,1749.4991321572147,1554.1728340481134,3149.7203480113635,0.14801580255681818,-18.098663,Ramana
0.51441455,1753.8920412097127,1369.5780610465424,3038.3839000355115,0.1575927734375,-14.8533125,Ramana
0.47025317,2410.1404407730624,1779.2413492481091,4314.226185191761,0.1872891512784091,-20.801313,Ramana
0.48273572,1945.9404814229235,1661.8942493411791,3546.127041903409,0.15522904829545456,-20.921293,Ramana
0.462531,1891.7599059506626,1609.7382171904699,3422.8005149147725,0.14818226207386365,-18.735727,Ramana
0.4878351,2061.8587026703603,1631.7108864768607,3748.4902121803975,0.17244096235795456,-17.687883,Ramana
0.47859332,1926.994157290543,1550.1430941763845,3539.764959161932,0.15562855113636365,-15.500333,Ramana
0.54801905,1989.4758103924034,1648.6152802764793,3563.989812677557,0.165771484375,-19.513447,Ramana
0.5243716,1894.5113263666892,1867.6757148723898,3757.299249822443,0.10039728338068182,-14.093802,Roshan
0.4840889,1855.7177913449734,1858.7222164481382,3857.8690962357955,0.10174005681818182,-15.025017,Roshan
0.48237213,1731.5342633280334,1810.2421538461501,3425.247469815341,0.09059836647727272,-14.914327,Roshan
0.51461875,1491.72817797843190,1698.6664656928222,2990.9129749644885,0.06772682883522728,-16.75449,Roshan
0.5248342,1838.9106351694818,1848.478238386401,3724.7547496448865,0.09508167613636363,-16.774086,Roshan
0.5251193,1584.1167308522965,1598.0771613011595,3137.4855735085225,0.07988947088068182,-16.111507,Roshan
0.48853487,1929.1583550329344,1980.280790565513,4084.2124245383525,0.08437278053977272,-16.108532,Roshan
0.5638949,1678.7170564201979,1790.4251647648234,3392.947665127841,0.08331853693181818,-16.57108,Roshan
0.5531306,1835.7189583421757,1892.1977716171523,3829.7291148792615,0.08693625710227272,-16.13337,Roshan
0.56646746,1566.705054615743,1689.8893438978598,3112.7997819767443,0.07882903343023256,-17.335981,Roshan
